x0000,y0000
0,0.005632698536,
1,0.005671143532,
2,0.005678236485,
3,0.005957007408,
4,0.005839526653,
5,0.005618142895,
6,0.006110989023,
7,0.00627309829,
8,0.006207320839,
9,0.006650864147,
10,0.006188078783,
11,0.00656842161,
12,0.006264920346,
13,0.006295095198,
14,0.006566680036,
15,0.006894251332,
16,0.006732847542,
17,0.007249139249,
18,0.006604541093,
19,0.007088366896,
20,0.006833970547,
21,0.006333366036,
22,0.006965896115,
23,0.007290100679,
24,0.00697318837,
25,0.007382299751,
26,0.007085604593,
27,0.0074206274,
28,0.007405204698,
29,0.006971338764,
30,0.007324093953,
31,0.007554590702,
32,0.007665362209,
33,0.007224082947,
34,0.007509555668,
35,0.007866304368,
36,0.007733292878,
37,0.007229045033,
38,0.007593214512,
39,0.007890250534,
40,0.007927112281,
41,0.007473237813,
42,0.007908049971,
43,0.008175063878,
44,0.007816102356,
45,0.007411573082,
46,0.007725607604,
47,0.008241482079,
48,0.007871005684,
49,0.007655739784,
50,0.008007742465,
51,0.007959775627,
52,0.007950209081,
53,0.008157487959,
54,0.007772479206,
55,0.008060745895,
56,0.008004851639,
57,0.007720395923,
58,0.007724963129,
59,0.00802218169,
60,0.00802506879,
61,0.00771516189,
62,0.007644765079,
63,0.00802782923,
64,0.008016221225,
65,0.007734291255,
66,0.007419139147,
67,0.008013471961,
68,0.007773421705,
69,0.008039988577,
70,0.007402852178,
71,0.007931113243,
72,0.007761992514,
73,0.007538177073,
74,0.007222220302,
75,0.007743999362,
76,0.007753513753,
77,0.007451221347,
78,0.007138878107,
79,0.007518574595,
80,0.007714316249,
81,0.007307887077,
82,0.007038496435,
83,0.007494263351,
84,0.007293522358,
85,0.00734680891,
86,0.006753727794,
87,0.007395528257,
88,0.007483355701,
89,0.006988242269,
90,0.006762608886,
91,0.007357783616,
92,0.007172487676,
93,0.007004290819,
94,0.006570108235,
95,0.007107064128,
96,0.006796844304,
97,0.006683923304,
98,0.006369099021,
99,0.006713695824,
100,0.00692974776,
101,0.006354726851,
102,0.006088748574,
103,0.006561212242,
104,0.006589375436,
105,0.006526328623,
106,0.005718633533,
107,0.006190292537,
108,0.006296858191,
109,0.006035581231,
110,0.005427971482,
111,0.005948081613,
112,0.006112597883,
113,0.005905516446,
114,0.005185134709,
115,0.006023593247,
116,0.005884923041,
117,0.005558073521,
118,0.005138784647,
119,0.005855031312,
120,0.005863152444,
121,0.005385532975,
122,0.004917040467,
123,0.005315676332,
124,0.005661003292,
125,0.005257323384,
126,0.004750669003,
127,0.00520336628,
128,0.005215078592,
129,0.004915088415,
130,0.004377260804,
131,0.005085721612,
132,0.004744276404,
133,0.004460439086,
134,0.003931432962,
135,0.004703253508,
136,0.00464117527,
137,0.004082620144,
138,0.003662213683,
139,0.004330724478,
