x0000,y0000,x0001,y0001
141,0.1808793843,141,-0.3397472799,
142,0.1811240613,142,-0.3402355611,
143,0.1794115603,143,-0.3424328268,
144,0.1759866178,144,-0.3438976705,
145,0.1728062928,145,-0.3456066549,
146,0.1718277633,146,-0.3453625143,
147,0.1706045568,147,-0.3475597799,
148,0.1681581438,148,-0.3485363424,
149,0.1652224958,149,-0.3502453268,
150,0.1637546718,150,-0.3502453268,
151,0.1617975533,151,-0.3517101705,
152,0.1588618457,152,-0.3531750143,
153,0.1554369032,153,-0.3543957174,
154,0.1547029912,154,-0.3551281393,
155,0.1532351673,155,-0.356592983,
156,0.1500548422,156,-0.3575695455,
157,0.1466298997,157,-0.358546108,
158,0.1458959877,158,-0.3592785299,
159,0.1439388692,159,-0.3607433736,
160,0.1414924562,160,-0.3619640768,
161,0.1380675137,161,-0.3622082174,
162,0.1368443072,162,-0.3634289205,
163,0.1346425712,163,-0.364405483,
164,0.1319515407,164,-0.366358608,
165,0.1292605102,165,-0.3668468893,
166,0.1275480688,166,-0.3670910299,
167,0.1258355677,167,-0.3680675924,
168,0.1226552427,168,-0.3692882955,
169,0.1194749177,169,-0.3697765768,
170,0.1184963882,170,-0.370264858,
171,0.1165392697,171,-0.3717297018,
172,0.1140928566,172,-0.3729504049,
173,0.1109125912,173,-0.3729504049,
174,0.1101786792,174,-0.3731945455,
175,0.1072429717,175,-0.3753918111,
176,0.1043073237,176,-0.376124233,
177,0.1011269987,177,-0.3763683736,
178,0.1003930867,178,-0.3768566549,
179,0.0981913507,179,-0.378077358,
180,0.09476640821,180,-0.3785656393,
181,0.0920753777,181,-0.3790539205,
182,0.09085217118,182,-0.3792980611,
183,0.08889505267,183,-0.3802746236,
184,0.08547011018,184,-0.3814953268,
185,0.08228978515,185,-0.3814953268,
186,0.08180049062,186,-0.3822277486,
187,0.07886484265,187,-0.3829601705,
188,0.07617381215,188,-0.3836925924,
189,0.07348278165,189,-0.3834484518,
190,0.07201495767,190,-0.3846691549,
191,0.0690792501,191,-0.3854015768,
192,0.06614360213,192,-0.385889858,
193,0.06418648362,193,-0.3856457174,
194,0.06271865964,194,-0.3866222799,
195,0.06002762914,195,-0.3875988424,
196,0.05684730411,196,-0.387842983,
197,0.05440089107,197,-0.3885754049,
198,0.05293306708,198,-0.3888195455,
199,0.05024203658,199,-0.3888195455,
200,0.04730638862,200,-0.3895519674,
201,0.04485997558,201,-0.3893078268,
202,0.04339215159,202,-0.3895519674,
203,0.04045644403,203,-0.3905285299,
204,0.03825470805,204,-0.3915050924,
205,0.03556367755,205,-0.3907726705,
206,0.03360655904,206,-0.3912609518,
207,0.03042623401,207,-0.3924816549,
208,0.02749058604,208,-0.3924816549,
209,0.02577808499,209,-0.3915050924,
210,0.02333173156,210,-0.3927257955,
211,0.02161923051,211,-0.3929699361,
212,0.01770499349,212,-0.3929699361,
213,0.0162371695,213,-0.3929699361,
214,0.013546139,214,-0.3934582174,
215,0.01134440303,215,-0.3934582174,
216,0.007919430733,216,-0.3932140768,
217,0.005717694759,217,-0.393702358,
218,0.004005223513,218,-0.3934582174,
219,0.001069545746,219,-0.3941906393,
220,-0.003089308739,220,-0.3946789205,
221,-0.003823250532,221,-0.3932140768,
222,-0.005291074514,222,-0.3939464986,
223,-0.008226752281,223,-0.3941906393,
224,-0.008716017008,224,-0.391749233,
225,-0.01360881329,225,-0.3934582174,
226,-0.01532128453,226,-0.393702358,
227,-0.01776766777,227,-0.3941906393,
228,-0.02070334554,228,-0.393702358,
229,-0.02339437604,229,-0.3934582174,
230,-0.02510684729,230,-0.3932140768,
231,-0.02779787779,231,-0.393702358,
232,-0.0297549963,232,-0.3939464986,
233,-0.03317993879,233,-0.3929699361,
234,-0.03489243984,234,-0.3929699361,
235,-0.03733882308,235,-0.3929699361,
236,-0.04100841284,236,-0.3932140768,
237,-0.04223161936,237,-0.3919933736,
238,-0.0446780026,238,-0.3924816549,
239,-0.04761368036,239,-0.3924816549,
240,-0.04981541634,240,-0.3932140768,
241,-0.05226182938,241,-0.391749233,
242,-0.05397430062,242,-0.3910168111,
243,-0.05666533113,243,-0.3907726705,
244,-0.05837780237,244,-0.3905285299,
245,-0.06229203939,245,-0.3902843893,
246,-0.06375986338,246,-0.3895519674,
247,-0.06620624661,247,-0.3900402486,
248,-0.07012048364,248,-0.3902843893,
249,-0.07134369016,249,-0.3885754049,
250,-0.07379007339,250,-0.3883312643,
251,-0.07599180937,251,-0.387842983,
252,-0.07966139913,252,-0.3875988424,
253,-0.08112925291,253,-0.3863781393,
254,-0.08333098888,254,-0.3863781393,
255,-0.08553275466,255,-0.3861339986,
256,-0.08895769715,256,-0.3861339986,
257,-0.09115946293,257,-0.3851574361,
258,-0.09287193418,258,-0.3844250143,
259,-0.09580761194,259,-0.383936733,
260,-0.09825399518,260,-0.3841808736,
261,-0.09996646643,261,-0.381983608,
262,-0.1024128497,262,-0.3817394674,
263,-0.10510391,263,-0.3812511861,
264,-0.1077949405,264,-0.3807629049,
265,-0.1087734699,265,-0.3792980611,
266,-0.1117091477,266,-0.3792980611,
267,-0.1144001782,267,-0.3790539205,
268,-0.117335856,268,-0.3778332174,
269,-0.1188036799,269,-0.3768566549,
270,-0.1210054457,270,-0.3763683736,
271,-0.1232072115,271,-0.376124233,
272,-0.1263875067,272,-0.3749035299,
273,-0.128099978,273,-0.374171108,
274,-0.1307910085,274,-0.3736828268,
275,-0.1332374215,275,-0.3731945455,
276,-0.1356838048,276,-0.372217983,
277,-0.1371516287,277,-0.3707531393,
278,-0.1395980418,278,-0.370264858,
279,-0.142044425,279,-0.3695324361,
280,-0.1447354555,280,-0.3685558736,
281,-0.1462032795,281,-0.3673351705,
282,-0.14889431,282,-0.3668468893,
283,-0.151340723,283,-0.366358608,
284,-0.153542459,284,-0.364405483,
285,-0.1552549303,285,-0.3631847799,
286,-0.1577013433,286,-0.3629406393,
287,-0.1596584618,287,-0.3622082174,
288,-0.1625941098,288,-0.3609875143,
289,-0.1645512283,289,-0.3597668111,
290,-0.1667529941,290,-0.3587902486,
291,-0.1694440246,291,-0.3583019674,
292,-0.1711564958,292,-0.356592983,
293,-0.1728689671,293,-0.3556164205,
294,-0.1760492921,294,-0.3548839986,
295,-0.1782510281,295,-0.3539074361,
296,-0.1804527938,296,-0.3524425924,
297,-0.1816759706,297,-0.3504894674,
298,-0.1841223836,298,-0.3500011861,
299,-0.1851009429,299,-0.3478039205,
