x0000,y0000,x0001,y0001,x0002,y0002
0,0.001634418964,0,0.438328892,0,-0.1890151501,
1,0.001569551183,1,0.4407702982,1,-0.1865687668,
2,0.002048070543,2,0.4407702982,2,-0.1848562956,
3,0.002165755723,3,0.4400378764,3,-0.1816759706,
4,0.001620154828,4,0.4439441264,4,-0.1782510281,
5,0.001582271885,5,0.4456531107,5,-0.1755599976,
6,0.002203514799,6,0.4444324076,6,-0.1738475263,
7,0.001976549625,7,0.4451648295,7,-0.1701779366,
8,0.001823974773,8,0.4478503764,8,-0.1674869061,
9,0.00181851536,9,0.4493152201,9,-0.1647958755,
10,0.002272162586,10,0.448094517,10,-0.1625941098,
11,0.002029832453,11,0.4502917826,11,-0.1594138145,
12,0.001869384199,12,0.4524890482,12,-0.1564781368,
13,0.001998280175,13,0.4534656107,13,-0.1540317535,
14,0.002695093863,14,0.452000767,14,-0.1525638998,
15,0.002049248666,15,0.4544421732,15,-0.148160398,
16,0.001923967153,16,0.4563952982,16,-0.1452247202,
17,0.002204915509,17,0.4566394389,17,-0.1430229843,
18,0.00249645859,18,0.4551745951,18,-0.1403319538,
19,0.002177761868,19,0.4583484232,19,-0.1371516287,
20,0.002185324207,20,0.459813267,20,-0.1344605982,
21,0.002430045977,21,0.4595691264,21,-0.132014215,
22,0.002558983862,22,0.4588367045,22,-0.1290785372,
23,0.002337697893,23,0.4620105326,23,-0.1261428595,
24,0.00233605504,24,0.4627429545,24,-0.1232072115,
25,0.002772400156,25,0.4620105326,25,-0.121250093,
26,0.002629991621,26,0.4624988139,26,-0.1178251505,
27,0.002507576719,27,0.4646960795,27,-0.1148894727,
28,0.00244528614,28,0.4651843607,28,-0.1117091477,
29,0.002429516986,29,0.4671374857,29,-0.1090181172,
30,0.002627907321,30,0.4651843607,30,-0.1060824394,
31,0.002596925944,31,0.4673816264,31,-0.1033914089,
32,0.002726051956,32,0.4673816264,32,-0.1007003784,
33,0.003130592406,33,0.465672642,33,-0.09849864244,
34,0.002481892705,34,0.4688464701,34,-0.0940951407,
35,0.002673074603,35,0.4703113139,35,-0.09189337492,
36,0.002829052508,36,0.4698230326,36,-0.08920234442,
37,0.003120992333,37,0.4683581889,37,-0.08675596118,
38,0.002695325762,38,0.4707995951,38,-0.08284172416,
39,0.002761367708,39,0.4717761576,39,-0.08015069366,
40,0.002975478768,40,0.471532017,40,-0.07770431042,
41,0.003119628876,41,0.4710437357,41,-0.07501327991,
42,0.002759065479,42,0.4725085795,42,-0.07109904289,
43,0.00288624689,43,0.4739734232,43,-0.06865265965,
44,0.003163605928,44,0.4722644389,44,-0.06620624661,
45,0.003174364567,45,0.4727527201,45,-0.06327056885,
46,0.002891752869,46,0.4744617045,46,-0.05960097909,
47,0.003057558089,47,0.4751941264,47,-0.05715459585,
48,0.003446321934,48,0.4722644389,48,-0.05495285988,
49,0.002897463739,49,0.4747058451,49,-0.05054932833,
50,0.002886418253,50,0.4759265482,50,-0.04761368036,
51,0.003079175949,51,0.4759265482,51,-0.04516726732,
52,0.003485172987,52,0.4742175639,52,-0.04321014881,
53,0.00304318592,53,0.4764148295,53,-0.03905129433,
54,0.003071777523,54,0.4764148295,54,-0.03611561656,
55,0.003175023943,55,0.4766589701,55,-0.03342458606,
56,0.003554504365,56,0.475438267,56,-0.03146746755,
57,0.003219395876,57,0.4771472514,57,-0.02755326033,
58,0.003237895668,58,0.4776355326,58,-0.02461758256,
59,0.003617484123,59,0.4759265482,59,-0.02266046405,
60,0.003480743617,60,0.4756824076,60,-0.01923552155,
61,0.003315240145,61,0.4778796732,61,-0.01581057906,
62,0.003178805113,62,0.4778796732,62,-0.01238560677,
63,0.003791928291,63,0.4756824076,63,-0.01116243005,
64,0.003482140601,64,0.4764148295,64,-0.007248193026,
65,0.003255911171,65,0.4778796732,65,-0.003578603268,
66,0.003444522619,66,0.4776355326,66,-0.00113222003,
67,0.003470882773,67,0.4786120951,67,0.001803457737,
68,0.003409646451,68,0.4766589701,68,0.004983782768,
69,0.003275200725,69,0.4776355326,69,0.008408725262,
70,0.003459826112,70,0.4771472514,70,0.0108551085,
71,0.003638401628,71,0.4761706889,71,0.01330152154,
72,0.003419280052,72,0.4764148295,72,0.0169710815,
73,0.003453373909,73,0.4771472514,73,0.01990678906,
74,0.003623060882,74,0.4759265482,74,0.0223531425,
75,0.003694042563,75,0.4739734232,75,0.025044173,
76,0.003431886435,76,0.4761706889,76,0.02895841002,
77,0.003528416157,77,0.4756824076,77,0.03164944053,
78,0.002964995801,78,0.4781238139,78,0.036542207,
79,0.003686115146,79,0.473485142,79,0.03703150153,
80,0.003519766033,80,0.475438267,80,0.04070112109,
81,0.003695435822,81,0.4749499857,81,0.04314747453,
82,0.003815457225,82,0.4727527201,82,0.04559388757,
83,0.003775030375,83,0.4732410014,83,0.0487742126,
84,0.003530696034,84,0.4747058451,84,0.05268844962,
85,0.003595635295,85,0.473485142,85,0.05537948012,
86,0.003049738705,86,0.4751941264,86,0.0602722466,
87,0.003513239324,87,0.4720202982,87,0.06149545312,
88,0.003484606743,88,0.4725085795,88,0.06467577815,
89,0.00369118154,89,0.4710437357,89,0.06687751412,
90,0.004090286791,90,0.4686023295,90,0.06834533811,
91,0.003556609154,91,0.4703113139,91,0.07323810458,
92,0.00360340625,92,0.4705554545,92,0.07617381215,
93,0.003773540258,93,0.4686023295,93,0.07837554812,
94,0.00392421335,94,0.4664050639,94,0.0805772841,
95,0.003762848675,95,0.4686023295,95,0.08449152112,
96,0.003690712154,96,0.4681140482,96,0.08767184615,
