x0000,y0000
284,1.003506899,
285,1.003481865,
286,1.003438354,
287,1.003491759,
288,1.003599644,
289,1.003723621,
290,1.003855944,
291,1.00398767,
292,1.00409174,
293,1.004078627,
294,1.004004359,
295,1.004038692,
296,1.004110098,
297,1.004082084,
298,1.004014492,
299,1.004067779,
300,1.004064202,
301,1.004027367,
302,1.004054785,
303,1.004041672,
304,1.004034519,
305,1.004052401,
306,1.004022002,
307,1.004072666,
308,1.004079223,
309,1.004025102,
310,1.004046559,
311,1.004040003,
312,1.004037619,
313,1.004067898,
314,1.004013896,
315,1.004057646,
316,1.004058242,
317,1.00402379,
318,1.004070878,
319,1.004044056,
320,1.004054189,
321,1.004088163,
322,1.004064322,
323,1.00404346,
324,1.004097104,
325,1.004142404,
326,1.004169822,
327,1.004166842,
328,1.004118562,
329,1.004043221,
330,1.004056811,
331,1.004127622,
332,1.004154444,
333,1.004135966,
334,1.004092455,
335,1.00401032,
336,1.004056334,
337,1.004088521,
338,1.004033327,
339,1.004013658,
340,1.004068971,
341,1.004024386,
342,1.004012465,
343,1.004063129,
344,1.004014969,
345,1.004014969,
346,1.004076719,
347,1.00402534,
348,1.003966093,
349,1.004010439,
350,1.004094481,
351,1.004058242,
352,1.004009724,
353,1.004078269,
354,1.004109859,
355,1.004083633,
356,1.004021049,
357,1.00408864,
358,1.004165649,
359,1.004238129,
360,1.004308224,
361,1.004410625,
362,1.004528165,
363,1.004645109,
364,1.004643798,
365,1.004561186,
366,1.004542112,
367,1.004583836,
368,1.004663467,
369,1.004602194,
370,1.004528284,
371,1.004505634,
372,1.004526496,
373,1.004585266,
374,1.004670978,
375,1.004593492,
376,1.004495025,
377,1.004369259,
378,1.004244089,
379,1.004124522,
380,1.004002094,
381,1.003951669,
382,1.003956437,
383,1.003977299,
384,1.004020691,
385,1.004043221,
386,1.003987432,
387,1.003987432,
388,1.004036307,
389,1.004032612,
390,1.003999829,
391,1.003999829,
392,1.004004598,
393,1.004006386,
394,1.004018307,
395,1.004021883,
396,1.004036784,
397,1.00401175,
398,1.003992081,
399,1.003992677,
400,1.003998041,
401,1.004024863,
402,1.004033804,
403,1.004004598,
404,1.003980756,
405,1.003961086,
406,1.003958702,
407,1.00396347,
408,1.003961682,
409,1.003943205,
410,1.003921747,
411,1.00390923,
412,1.003878236,
413,1.00383234,
414,1.003751278,
415,1.003641367,
416,1.003534317,
417,1.003424883,
418,1.003373861,
419,1.003418326,
420,1.003478408,
421,1.003402829,
422,1.003333926,
423,1.003247976,
424,1.003160954,
425,1.003091931,
426,1.003009796,
427,1.002938986,
428,1.002899051,
429,1.00288713,
430,1.002914548,
431,1.002990246,
432,1.003108978,
433,1.003226519,
434,1.003325105,
435,1.003446698,
436,1.003500819,
437,1.003384113,
438,1.003269672,
439,1.003188252,
440,1.003130078,
441,1.003060579,
442,1.002938271,
443,1.002822161,
444,1.002864003,
445,1.002934933,
446,1.002933145,
447,1.00283277,
448,1.002799034,
449,1.002868891,
450,1.002835751,
451,1.002775908,
452,1.002779484,
453,1.002829552,
454,1.002842665,
455,1.002776146,
456,1.002684474,
457,1.002571583,
458,1.002455235,
459,1.002341747,
460,1.002233982,
461,1.002258778,
462,1.00232923,
463,1.002361417,
464,1.002335191,
465,1.002283931,
466,1.002252936,
467,1.002292275,
468,1.002361059,
469,1.002462387,
470,1.002591729,
471,1.002716303,
472,1.002835631,
473,1.002883315,
474,1.002801538,
475,1.002762794,
476,1.002800941,
477,1.00289309,
478,1.002864838,
479,1.002766967,
480,1.002723455,
481,1.002746105,
482,1.002821326,
483,1.00286603,
484,1.002777696,
485,1.002721667,
486,1.002697825,
487,1.002681136,
488,1.002635241,
489,1.002568007,
490,1.002454996,
491,1.002328038,
492,1.002207518,
493,1.002183676,
494,1.002270699,
495,1.002278805,
496,1.002179503,
497,1.002133131,
498,1.002150416,
499,1.002120018,
500,1.001906753,
501,1.001838565,
502,1.002009153,
503,1.002109289,
504,1.002059817,
505,1.001876235,
506,1.001927853,
507,1.002142429,
508,1.002241015,
509,1.002236247,
510,1.002134085,
511,1.001930237,
512,1.001925588,
513,1.002148509,
514,1.002310634,
515,1.002412319,
516,1.002471685,
517,1.002503872,
518,1.002497911,
519,1.002460957,
520,1.002384424,
521,1.00222826,
522,1.00201726,
523,1.001878142,
524,1.0020715,
525,1.002245545,
526,1.002339244,
527,1.002361894,
528,1.002312303,
529,1.002162099,
530,1.001939297,
531,1.001885295,
532,1.002102137,
533,1.002224088,
534,1.002216935,
535,1.002093792,
536,1.001892447,
537,1.001977205,
538,1.002166748,
539,1.002274752,
540,1.002328396,
541,1.002346277,
542,1.002302289,
543,1.002228022,
544,1.002111077,
545,1.001956105,
546,1.001993656,
547,1.00217247,
548,1.002338171,
549,1.002507448,
550,1.002680302,
551,1.002831697,
552,1.002949715,
553,1.003012419,
554,1.003015995,
555,1.002932668,
556,1.002752662,
557,1.002492309,
558,1.00222826,
559,1.001968026,
560,1.001849174,
561,1.002018571,
562,1.002128839,
563,1.002087712,
564,1.001908898,
565,1.00193119,
566,1.002071023,
567,1.002052307,
568,1.001871109,
569,1.001874566,
570,1.002058148,
571,1.002057076,
572,1.001866341,
573,1.001829863,
574,1.002001882,
575,1.00208652,
576,1.00195837,
577,1.001877308,
578,1.002053857,
579,1.002183914,
580,1.002225518,
581,1.002205253,
582,1.002139091,
583,1.002032638,
584,1.001930594,
585,1.002061844,
586,1.002165794,
587,1.002249122,
588,1.002314329,
589,1.002356052,
590,1.002356052,
591,1.002304912,
592,1.002230406,
593,1.002159357,
594,1.002100945,
595,1.0020473,
596,1.001994848,
597,1.001955509,
598,1.001987696,
599,1.002029419,
600,1.002065182,
601,1.002086639,
602,1.002075911,
603,1.002008557,
604,1.001947522,
605,1.002043486,
606,1.002058983,
607,1.001990557,
608,1.001952887,
609,1.002073407,
610,1.002138257,
611,1.002138257,
612,1.002075672,
613,1.001932621,
614,1.001994848,
615,1.002139091,
616,1.002228022,
617,1.002253056,
618,1.002213955,
619,1.002110958,
620,1.001946449,
621,1.001980424,
622,1.002144933,
623,1.002299905,
624,1.002459645,
625,1.002626538,
626,1.00282681,
627,1.003058076,
628,1.003205419,
629,1.002992153,
630,1.002744436,
631,1.002501488,
632,1.002250433,
633,1.00199914,
634,1.001892209,
635,1.002076983,
636,1.002241492,
637,1.002366662,
638,1.002471685,
639,1.002583742,
